description,category
NestAway -promo,RENT
BigBasket UPI 207,GROCERIES
ICICI Direct +tax 8406.86,INVESTMENT
NestAway order 5976,RENT
Zomato +tax 5707.85,RESTAURANTS
Axis Bank Mumbai,BANKING
IndiGo GPay txn 4454,TRAVEL
ICICI Payroll +tax 7481.63,INCOME
Angel One #9532,INVESTMENT
ICICI Bank order 326,BANKING
Amazon Prime Video +tax 5659.79,ENTERTAINMENT
Dropbox plan -promo,SUBSCRIPTIONS
Headspace POS 8253,SUBSCRIPTIONS
Nature's Basket GPay txn 563,GROCERIES
Gaana -promo,ENTERTAINMENT
Tanishq #5721,SHOPPING
BESCOM +tax 4743.85,UTILITIES
Angel One order 1546,INVESTMENT
Motilal Oswal UPI 5152,INVESTMENT
Prime Music 257.17 INR,ENTERTAINMENT
Ola POS 6888,TRANSPORT
Croma NEFT 9287,SHOPPING
ICICI Bank Mumbai,BANKING
ICICI Bank IN,BANKING
UpGrad 327.09 INR,EDUCATION
Barbeque Nation POS 995,RESTAURANTS
ICICI Payroll IN,INCOME
BigBasket order 7085,GROCERIES
Indian Oil Mumbai,FUEL
Employer Inc ACH 2678,INCOME
Swiggy IN,RESTAURANTS
Kotak Bank ACH 7722,BANKING
Gaana order 1367,ENTERTAINMENT
IRCTC POS 4548,TRANSPORT
India Oil UPI 9550,FUEL
Croma POS 5597,SHOPPING
Employer Inc 3220.61,INCOME
College Fee NEFT 8375,EDUCATION
College Fee 7548.24 INR,EDUCATION
BESCOM UPI 1876,UTILITIES
Sviggy +tax 1701.21,RESTAURANTS
JioFiber GPay txn 5658,UTILITIES
Headspace GPay txn 3599,SUBSCRIPTIONS
HDFC Bank Mumbai,BANKING
BigBasket UPI 9517,GROCERIES
Barbeque Nation UPI 9575,RESTAURANTS
Apartment Dues Bangalore,RENT
Byju's order 4392,EDUCATION
Sharekhan order 1224,INVESTMENT
IndiGo online,TRAVEL
Dominos -promo,RESTAURANTS
Airport Taxi +tax 5579.84,TRANSPORT
JioFiber Bangalore,UTILITIES
Rent Payment order 6747,RENT
Amazon Web Services ACH 1924,SUBSCRIPTIONS
Axis Bank Bangalore,BANKING
Salary Credit 1981.41 INR,INCOME
AWS Subscription UPI 4041,SUBSCRIPTIONS
Blinkit -promo,GROCERIES
Coursera order 6132,EDUCATION
IRCTC 3902.74,TRANSPORT
Apartment Dues NEFT 2923,RENT
BookMyShow ACH 8943,ENTERTAINMENT
Byju's GPay txn 6370,EDUCATION
Barbeque Nation Mumbai,RESTAURANTS
Landlord order 483,RENT
Apollo Clinic ACH 8842,HEALTH
Zomato IN,RESTAURANTS
Gaana +tax 9779.43,ENTERTAINMENT
Indian Coffee House 1632.70 INR,RESTAURANTS
1mg Pharmacy GPay txn 7879,HEALTH
Cafe Coffee Day ACH 2961,RESTAURANTS
Ola -promo,TRANSPORT
Airtel Fiber 9147.64,UTILITIES
Airtel Fiber POS 1368,UTILITIES
NoBroker Rent Bangalore,RENT
HPCL Fuel -promo,FUEL
Salary Credit UPI 4727,INCOME
BigBasket GPay txn 1001,GROCERIES
Fortis Hospital -promo,HEALTH
Apollo Clinic ACH 4281,HEALTH
HDFC Payroll NEFT 1838,INCOME
Angel One 8426.30,INVESTMENT
Vistara -promo,TRAVEL
YouTube Premium Bangalore,SUBSCRIPTIONS
Nature's Basket 6701.43 INR,GROCERIES
Blinkit POS 2133,GROCERIES
Headspace IN,SUBSCRIPTIONS
Vistara UPI 3544,TRAVEL
IRCTC UPI 6040,TRANSPORT
Bharat Petroleum POS 1190,FUEL
Axis Bank online,BANKING
Blinkit 6559.85,GROCERIES
Mutual Fund POS 5582,INVESTMENT
Landlord GPay txn 9422,RENT
Airtel Fiber IN,UTILITIES
Bharat Petroleum order 493,FUEL
1mg Pharmacy order 4647,HEALTH
Hdfc Bank +tax 2400.86,BANKING
HDFC Bank IN,BANKING
Grocery Market -promo,GROCERIES
Dropbox plan online,SUBSCRIPTIONS
Tanishq +tax 4107.61,SHOPPING
Rent Payment -promo,RENT
UpGrad NEFT 9769,EDUCATION
NestAway #6122,RENT
Prime Music Bangalore,ENTERTAINMENT
Flipkart IN,SHOPPING
Zepto Mumbai,GROCERIES
Fortis Hospital ACH 3766,HEALTH
JioFiber NEFT 4038,UTILITIES
JioFiber 4855.18 INR,UTILITIES
Headspace 4569.00,SUBSCRIPTIONS
SIP Investment GPay txn 6181,INVESTMENT
NestAway +tax 4918.15,RENT
HPCL Fuel IN,FUEL
BigBasket POS 8104,GROCERIES
Myntra IN,SHOPPING
Apollo Clinic order 5465,HEALTH
ICICI Direct #7060,INVESTMENT
More Supermarket NEFT 9618,GROCERIES
Ubr POS 9271,TRANSPORT
Ola ACH 1201,TRANSPORT
1mg Pharmacy GPay txn 6972,HEALTH
Cafe Coffee Day ACH 6574,RESTAURANTS
Indian Coffee House 301.48 INR,RESTAURANTS
Employer Inc GPay txn 9371,INCOME
Nature's Basket 5866.84 INR,GROCERIES
Cafe Coffee Day POS 2177,RESTAURANTS
Paycheck online,INCOME
Bharat Petroleum 8480.73 INR,FUEL
Indian Oil -promo,FUEL
UpGrad #8580,EDUCATION
NestAway Mumbai,RENT
Croma 4502.22 INR,SHOPPING
Canva Pro GPay txn 2011,SUBSCRIPTIONS
Landlord Mumbai,RENT
Apartment Dues POS 1972,RENT
Kotak Bank #5326,BANKING
Landlord POS 4404,RENT
Indian Coffee House ACH 9286,RESTAURANTS
Upstox Bangalore,INVESTMENT
Unacademy 2894.67,EDUCATION
Haldirams -promo,RESTAURANTS
Canva Pro 4114.44,SUBSCRIPTIONS
Ola Cabs order 8707,TRANSPORT
HDFC -promo,BANKING
Coursera 290.69 INR,EDUCATION
Reliance Fuel NEFT 9533,FUEL
Mutual Fund 4981.54 INR,INVESTMENT
Groww IN,INVESTMENT
ICICI Bank ACH 9139,BANKING
Employer Inc #1463,INCOME
HPCL Fuel #131,FUEL
NoBroker Rent IN,RENT
Bharat Petroleum UPI 5030,FUEL
Axis Bank IN,BANKING
Indian Coffee House -promo,RESTAURANTS
Cult.fit UPI 1840,SUBSCRIPTIONS
Swiggy online,RESTAURANTS
School Payment GPay txn 9636,EDUCATION
Pharmeasy Mumbai,HEALTH
Grocery Market #2813,GROCERIES
Bharat Petroleum Mumbai,FUEL
Prime Music POS 4208,ENTERTAINMENT
Apartment Dues IN,RENT
BigBasket NEFT 2127,GROCERIES
Rent Payment #3650,RENT
Angel One -promo,INVESTMENT
India Oil 6713.29 INR,FUEL
Landlord IN,RENT
Landlord IN,RENT
Sharekhan Mumbai,INVESTMENT
Ajio POS 3997,SHOPPING
More Supermarket order 9182,GROCERIES
Grocery Market order 2987,GROCERIES
Cafe Coffee Day +tax 5611.10,RESTAURANTS
IRCTC IN,TRANSPORT
BWSSB Water 5838.73,UTILITIES
Zepto POS 5091,GROCERIES
Indian Oil IN,FUEL
Cult.fit 4426.50 INR,SUBSCRIPTIONS
Paycheck 3935.65 INR,INCOME
Amazon India NEFT 3749,SHOPPING
Landlord +tax 6548.02,RENT
Myntr order 4610,SHOPPING
NoBroker Rent order 3140,RENT
Air India online,TRAVEL
PVR Cinemas #7419,ENTERTAINMENT
Croma GPay txn 9772,SHOPPING
Kotak Bank UPI 7724,BANKING
BESCOM POS 3156,UTILITIES
Air India IN,TRAVEL
Reliance Fuel GPay txn 3982,FUEL
HDFC Payroll 5898.04,INCOME
Apartment Dues #8843,RENT
Reliance Fuel -promo,FUEL
Amazon India NEFT 8920,SHOPPING
Unacademy NEFT 2384,EDUCATION
Grocery Market NEFT 1294,GROCERIES
Netflix ACH 6636,ENTERTAINMENT
Rapido IN,TRANSPORT
Axis Bank Bangalore,BANKING
Airport Taxi UPI 5314,TRANSPORT
Udemy 1591.22,EDUCATION
College Fee #4958,EDUCATION
Fortis Hospital order 9350,HEALTH
Mutual Fund -promo,INVESTMENT
MakeMyTrip order 5839,TRAVEL
Apollo Clinic POS 8656,HEALTH
Zomato 8641.54 INR,RESTAURANTS
School Payment UPI 2673,EDUCATION
College Fee NEFT 1336,EDUCATION
Ajio IN,SHOPPING
Rent Payment 8000.12 INR,RENT
Landlord POS 6491,RENT
Yatra.com NEFT 4322,TRAVEL
Mutual Fund -promo,INVESTMENT
Blinkit Mumbai,GROCERIES
Landlord order 3999,RENT
Myntra GPay txn 5964,SHOPPING
Apollo Clinic UPI 5605,HEALTH
Yatra.com order 9001,TRAVEL
College Fee order 575,EDUCATION
Nature's Basket NEFT 9345,GROCERIES
Amazon India online,SHOPPING
College Fee #4672,EDUCATION
Prime Music +tax 3936.41,ENTERTAINMENT
Reliance Fuel 2879.23,FUEL
RedBus 1498.02 INR,TRANSPORT
Amazon Web Services +tax 7451.60,SUBSCRIPTIONS
Mahanagar Gas IN,UTILITIES
Axis Bank POS 7418,BANKING
Udemy +tax 4600.63,EDUCATION
Apollo Clinic POS 1297,HEALTH
Myntra -promo,SHOPPING
BigBasket UPI 749,GROCERIES
Employer Inc Mumbai,INCOME
Gaana IN,ENTERTAINMENT
Paycheck online,INCOME
BigBasket POS 4623,GROCERIES
Reliance Fresh GPay txn 4931,GROCERIES
SBI Bank online,BANKING
Salary Credit #2374,INCOME
IndiGo POS 2701,TRAVEL
College Fee #3196,EDUCATION
UpGrad GPay txn 8369,EDUCATION
Angel One 3181.03,INVESTMENT
SBI Bank 9195.16 INR,BANKING
Cult.fit -promo,SUBSCRIPTIONS
Landlord UPI 5124,RENT
Amzn India online,SHOPPING
Zomato online,RESTAURANTS
Paycheck Bangalore,INCOME
HPCL Fuel -promo,FUEL
Rent Payment order 7877,RENT
Byju's +tax 4975.19,EDUCATION
Apollo Clinic online,HEALTH
Netflix 662.16 INR,ENTERTAINMENT
Ola NEFT 1847,TRANSPORT
Ola order 9378,TRANSPORT
Amazon Web Services +tax 4759.38,SUBSCRIPTIONS
Spotify IN,ENTERTAINMENT
ICICI Bank online,BANKING
Swiggy ACH 1100,RESTAURANTS
Indian Oil #4388,FUEL
ICICI Payroll GPay txn 2597,INCOME
Mahanagar Gas POS 8092,UTILITIES
More Supermarket #903,GROCERIES
Sharekhan ACH 3061,INVESTMENT
MSEB Electricity Bangalore,UTILITIES
Apartment Dues 7178.39 INR,RENT
Reliance Fresh Bangalore,GROCERIES
Tanishq #1071,SHOPPING
Airtel Fiber order 9608,UTILITIES
Airtel Fiber IN,UTILITIES
Nykaa Mumbai,SHOPPING
Barbeque Nation POS 4470,RESTAURANTS
Coursera +tax 2795.21,EDUCATION
Cult.fit #229,SUBSCRIPTIONS
Unacademy GPay txn 8203,EDUCATION
India Oil #2570,FUEL
Indian Oil ACH 3756,FUEL
More Supermarket #6562,GROCERIES
GoFirst -promo,TRAVEL
Haldirams #8392,RESTAURANTS
College Fee NEFT 963,EDUCATION
Motilal Oswal +tax 7546.11,INVESTMENT
Apartment Dues Bangalore,RENT
Unacademy ACH 9359,EDUCATION
Myntra order 2777,SHOPPING
Prime Music 5151.31,ENTERTAINMENT
AWS Subscription POS 3464,SUBSCRIPTIONS
AWS Subscription GPay txn 3955,SUBSCRIPTIONS
Rent Payment -promo,RENT
IRCTC 5381.03 INR,TRANSPORT
Netflix NEFT 4859,ENTERTAINMENT
Salary Credit UPI 2732,INCOME
Coursera online,EDUCATION
Reliance Fresh Mumbai,GROCERIES
Disney+ Hotstar ACH 9530,ENTERTAINMENT
Nature's Basket GPay txn 4697,GROCERIES
Headspace GPay txn 3045,SUBSCRIPTIONS
Rapido 4740.84 INR,TRANSPORT
Vistara -promo,TRAVEL
BESCOM Bangalore,UTILITIES
Spotify 5219.92 INR,ENTERTAINMENT
Ajio -promo,SHOPPING
Croma Mumbai,SHOPPING
Netflix +tax 4925.52,ENTERTAINMENT
Swiggy order 5167,RESTAURANTS
Disney+ Hotstar Mumbai,ENTERTAINMENT
JioFiber -promo,UTILITIES
Fortis Hospital IN,HEALTH
Paycheck #7620,INCOME
Vistara IN,TRAVEL
HDFC Payroll POS 5379,INCOME
Kotak Bank 2978.27,BANKING
College Fee 9870.87 INR,EDUCATION
Myntra 7680.97 INR,SHOPPING
MakeMyTrip +tax 4442.94,TRAVEL
ICICI Payroll 4330.42,INCOME
Rapido 3453.00,TRANSPORT
Mahanagar Gas UPI 2840,UTILITIES
ICICI Payroll Bangalore,INCOME
Uber ACH 6343,TRANSPORT
Great Learning -promo,EDUCATION
Amazon Web Services #6600,SUBSCRIPTIONS
Fortis Hospital Bangalore,HEALTH
Rent Payment #7291,RENT
AWS Subscription GPay txn 9661,SUBSCRIPTIONS
BookMyShow Bangalore,ENTERTAINMENT
